budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
1100000,Black Snake,USA,Jim Jarmusch,Comedy,1436000,Down by Law,R,30/10/86,107,7.8,Tom Waits,39456,Jim Jarmusch,1986
10000000,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,R,07/02/86,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986
18000000,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,PG-13,13/06/86,117,6.1,John Lithgow,4666,Marshall Brickman,1986
5000000,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,R,28/03/86,89,6.2,Deborah Foreman,11458,Danilo Bach,1986
25000000,Brooksfilms,USA,Alan Johnson,Action,1579260,Solarbabies,PG-13,26/11/86,94,4.8,Richard Jordan,3397,Walon Green,1986
40000000,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825,Piratas,PG-13,18/07/86,121,6.1,Walter Matthau,6596,John Brownjohn,1986
10000000,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229,Tough Guys,PG,03/10/86,104,6.2,Burt Lancaster,5584,James Orr,1986
12000000,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,31/01/86,104,5.9,Robin Williams,5523,Ron Shelton,1986
2000000,Paragon Arts International,UK,Kevin Tenney,Horror,7369373,Witchboard,R,13/03/87,98,5.7,Todd Allen,4744,Kevin Tenney,1986
14000000,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,R,31/01/86,103,6.1,Nick Nolte,13569,René Fauchois,1986
8500000,Capital Equipment Leasing,UK,Trevor Nunn,Biography,277646,Lady Jane,PG-13,07/02/86,136,7.2,Helena Bonham Carter,5364,Chris Bryant,1986
18000000,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,R,25/04/86,115,5.7,Jeff Bridges,3607,Lawrence Block,1986
8000000,Cannon Group,USA,J. Lee Thompson,Action,11834302,Firewalker,PG,21/11/86,104,5,Chuck Norris,4752,Robert Gosnell,1986
3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,R,18/07/86,93,5.9,Chris Makepeace,3909,Donald P. Borchers,1986
15000000,Warner Bros.,USA,Harold Ramis,Comedy,12308521,Club Paradise,PG-13,11/07/86,96,4.9,Robin Williams,5049,Harry Shearer,1986
40000000,Universal Pictures,USA,Ivan Reitman,Comedy,49851591,Legal Eagles,PG,20/06/86,116,5.9,Robert Redford,8374,Ivan Reitman,1986
