budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
12000000,TriStar Pictures,USA,Robert Benton,Comedy,5669831,Nadine,PG,07/08/87,83,5.5,Jeff Bridges,3267,Robert Benton,1987
1100000,Conquest Productions,USA,Jeff Burr,Action,1355728,From a Whisper to a Scream,R,04/09/87,99,6,Vincent Price,1489,C. Courtney Joyner,1987
5000000,Golan-Globus Productions,USA,Norman Mailer,Comedy,858250,Tough Guys Don't Dance,R,18/09/87,110,4.8,Ryan O'Neal,1025,Norman Mailer,1987
4000000,New World Entertainment Films,USA,Bill Condon,Drama,743445,"Sister, Sister",R,09/02/88,91,5.5,Eric Stoltz,695,Bill Condon,1987
15000000,Cannon Group,USA,Jerry Belson,Comedy,5711976,Surrender,PG,09/10/87,105,5.4,Sally Field,692,Jerry Belson,1987
14000000,Paramount Pictures,USA,Michael Apted,Comedy,20240502,Critical Condition,R,16/01/87,100,5.2,Richard Pryor,2453,Denis Hamill,1987
12000000,De Laurentiis Entertainment Group (DEG),USA,John D. Hancock,Drama,2325444,Weeds,R,16/10/87,115,6,Nick Nolte,717,Dorothy Tristan,1987
15000000,"Geffen Company, The",USA,Tim Burton,Comedy,73707461,Beetlejuice,PG,30/03/88,92,7.5,Alec Baldwin,206997,Michael McDowell,1988
39000000,Eddie Murphy Productions,USA,John Landis,Comedy,128152300,Coming to America,R,29/06/88,116,7,Eddie Murphy,130485,Eddie Murphy,1988
9000000,United Artists,USA,Tom Holland,Horror,33244684,Child's Play,R,09/11/88,87,6.6,Catherine Hicks,67682,Don Mancini,1988
28000000,Twentieth Century Fox Film Corporation,USA,John McTiernan,Action,83008852,Die Hard,R,20/07/88,131,8.2,Bruce Willis,647000,Roderick Thorp,1988
35000000,Metro-Goldwyn-Mayer (MGM),USA,Ron Howard,Action,57269863,Willow,PG,20/05/88,126,7.3,Val Kilmer,86056,George Lucas,1988
3000000,New World Pictures,USA,Michael Lehmann,Comedy,1108462,Heathers,R,31/03/89,103,7.3,Winona Ryder,67238,Daniel Waters,1988
25000000,United Artists,USA,Barry Levinson,Drama,172825435,Rain Man,R,16/12/88,133,8,Dustin Hoffman,408473,Barry Morrow,1988
4000000,Alive Films,USA,John Carpenter,Action,13008928,They Live,R,04/11/88,94,7.3,Roddy Piper,83379,Ray Nelson,1988
70000000,Touchstone Pictures,USA,Robert Zemeckis,Animation,156452370,Who Framed Roger Rabbit,PG,22/06/88,104,7.7,Bob Hoskins,153513,Gary K. Wolf,1988
18000000,American Entertainment Partners II L.P.,USA,Penny Marshall,Comedy,114968774,Big,PG,03/06/88,104,7.3,Tom Hanks,164257,Gary Ross,1988
20000000,Touchstone Pictures,USA,Roger Donaldson,Comedy,78222753,Cocktail,R,29/07/88,104,5.8,Tom Cruise,65825,Heywood Gould,1988
5000000,Cristaldifilm,Italy,Giuseppe Tornatore,Drama,11990401,Cinema Paradiso,R,23/02/90,155,8.5,Philippe Noiret,171600,Giuseppe Tornatore,1988
19000000,TriStar Pictures,USA,Chuck Russell,Horror,8247943,The Blob,R,05/08/88,95,6.4,Shawnee Smith,24931,Theodore Simonson,1988
3500000,De Laurentiis Entertainment Group (DEG),USA,Stan Winston,Fantasy,4385516,Pumpkinhead,R,13/01/89,86,6.2,Lance Henriksen,15572,Ed Justin,1988
7500000,Metro-Goldwyn-Mayer (MGM),UK,Charles Crichton,Comedy,63493712,A Fish Called Wanda,R,05/08/88,108,7.6,John Cleese,114144,John Cleese,1988
2000000,Sarlui / Diamant,USA,Stephen Chiodo,Comedy,15625095,Killer Klowns from Outer Space,PG-13,27/05/88,88,6.1,Grant Cramer,25440,Charles Chiodo,1988
30000000,Universal Pictures,USA,Martin Brest,Action,38413606,Midnight Run,R,20/07/88,126,7.6,Robert De Niro,58318,George Gallo,1988
3000000,Film Futures,UK,Tony Randel,Horror,11090735,Hellbound: Hellraiser II,R,23/12/88,97,6.5,Doug Bradley,33241,Clive Barker,1988
15000000,Orion Pictures,USA,Alan Parker,Crime,34603943,Mississippi Burning,R,27/01/89,128,7.8,Gene Hackman,70539,Chris Gerolmo,1988
